experiment_setting_keys,experiment_setting_values,round,room,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
rounds,"{'apply': True, 'distribution_type': 'sigmoid', 'interval': [0, 200], 'coefficients': [1, 32]}",0,0,1711741140,ToM+SSSM-2143-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 33, 'min': 33, 'avg': 27.0, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(9, 17)","(9, 17)","(17, 25)","(17, 25)","(25, 33)","(25, 33)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,4,0,0,1,2,0,0,4,1,3,3,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': None, 'rtimedn': 9, 'rtimeup': 9}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 14.633, 'rtimeup': 14.633}",,,,,,,,,
time_horizon,"{'apply': True, 'interval': [0, 1], 'distribution_type': 'uniform', 'coefficients': [0, 1]}",1,0,1711741152,ToM+SSSM-2143-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 39, 'min': 39, 'avg': 33.0, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(15, 23)","(15, 23)","(23, 31)","(23, 31)","(31, 39)","(31, 39)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,1,3,4,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 15.166, 'rtimeup': 15.166}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 15.776, 'rtimeup': 15.776}",,,,,,,,,
payoff_dimensions,"{'SSD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'OOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'SOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'abdication_penalty': 10, 'payoff_values': [1, 9], 'cents_per_payoff': 0}",2,0,1711741160,ToM+SSSM-2143-1324,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 32, 'min': 32, 'avg': 26.0, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(8, 16)","(8, 16)","(16, 24)","(16, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,1,0,0,1,3,0,0,4,2,3,4,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': None, 'rtimedn': 9, 'rtimeup': 9}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,,,
players,"{'n_humans': 1, 'n_robots': 1, 'can_join_late': True, 'proportion_over_number': True, 'start_when_enough_humans': True, 'exclude_researchers': False}",3,0,1711741174,ToM+SSSM-3421-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 34, 'min': 34, 'avg': 29.75, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(17, 25)","(17, 25)","(18, 26)","(18, 26)","(26, 34)","(26, 34)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,2,4,1,1,B,,,,,BB,,,BBB,,,,,,,A,,,BA,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 17.121, 'rtimeup': 17.121}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 17.994, 'rtimeup': 17.994}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 17.539, 'rtimeup': 17.539}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
game_speed,"{'seconds_per_node': 8, 'seconds_per_descendant': 0, 'buffer_between_levels': 0}",4,0,1711741181,ToM+SMSS-3412-1324,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 32, 'min': 32, 'avg': 26.0, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(8, 16)","(8, 16)","(16, 24)","(16, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,1,0,0,4,3,0,0,1,2,2,4,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 18.713, 'rtimeup': 18.713}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,,,
game_trees,"{'preselected': False, 'trees_list': ['Tree_of_Spite', 'Tutorial_Tree_0', 'Abdication_Frenzy', 'Semi_Simultaneous', 'Prisoners_Dilemma', 'Intermediate_Payoffs', 'Ternary_Dictator_Game', 'Artificial_Agent_Tester', 'Insurance_for_Used_Cars', 'Simultaneous_Predictions', 'Three_Player_Enjoyment', 'Tripple_Simultaneous', 'Asking_for_a_Raise']}",5,0,1711741197,ToM+SMSS-3412-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 36, 'min': 36, 'avg': 31.75, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(19, 27)","(19, 27)","(20, 28)","(20, 28)","(28, 36)","(28, 36)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,4,0,0,4,2,0,0,1,1,2,3,B,,,,,BB,,,BBA,,,,,,,A,,,BA,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 19.478, 'rtimeup': 19.478}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 20.332, 'rtimeup': 20.332}",,,,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 19.989, 'rtimeup': 19.989}",,,,,"{'rtype': 'd', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
group_size,"{'distribution': [0, 1, 0, 0], 'apply': True}",6,0,1711741205,ToM+SMSS-2134-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 32, 'min': 32, 'avg': 26.0, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(8, 16)","(8, 16)","(16, 24)","(16, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,1,3,0,0,3,4,4,1,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 21.123, 'rtimeup': 21.123}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,,,
robots,"{'self_value': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'other_value': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'normal_envy': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reverse_envy': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'risk_preference': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'loss_preference': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reasoning_depth': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'time_discount': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reaction_time': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}}",7,0,1711741212,ToM+SMSS-3412-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 32, 'min': 32, 'avg': 26.0, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(8, 16)","(8, 16)","(16, 24)","(16, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,4,2,0,0,1,1,2,4,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 21.825, 'rtimeup': 21.825}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,,,
truthfulness,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",8,0,1711741225,ToM+MMMS-3241-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[True, False]","{'max': 39, 'min': 39, 'avg': 34.75, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(22, 30)","(22, 30)","(23, 31)","(23, 31)","(31, 39)","(31, 39)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,4,4,1,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 22.376, 'rtimeup': 22.376}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 23.146, 'rtimeup': 23.146}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,"{'rtype': 'select-node', 'rtimedn': 22.998, 'rtimeup': 22.998}",,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,
complexity,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",9,0,1711741233,ToM+MMMS-2143-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1c5019bc-503a-4f39-9f46-c01527c593e7', 'ff0be1ed-49a1-44a1-a12b-d00cd0418b7a']","['participant', 'robot']","['moon', 'two-triangle']","['hsla(281, 60%, 57%, 1.0)', 'hsla(230, 54%, 57%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 32, 'min': 32, 'avg': 26.0, 'root': 8}","[-10, 0]","[51, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 8)","(8, 16)","(8, 16)","(16, 24)","(16, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,1,3,0,0,4,4,3,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 23.928, 'rtimeup': 23.928}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 2.345, 'rtimeup': 3.497}",,,,,,,,,,,,
