experiment_setting_keys,experiment_setting_values,round,room,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
rounds,"{'apply': True, 'distribution_type': 'sigmoid', 'interval': [0, 200], 'coefficients': [1, 32]}",0,0,1712103869,ToM+MMMM-2143-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[False, False]","{'max': 24, 'min': 24, 'avg': 19.5, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(8, 16)","(8, 20)","(6, 14)","(6, 16)","(16, 24)","(16, 24)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,4,4,3,1,B,,,,,BB,,,BBA,,,,,,,B,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 0.992, 'rtimeup': 0.992}",,,,,"{'rtype': 'a', 'rtimedn': 5.591, 'rtimeup': 6.754}",,,"{'rtype': 'select-node', 'rtimedn': 1.219, 'rtimeup': 1.219}",,,,,,,"{'rtype': 'a', 'rtimedn': 7.965, 'rtimeup': 8.263}",,,"{'rtype': 'select-node', 'rtimedn': 1.1, 'rtimeup': 1.1}",,,,,"{'rtype': 'd', 'rtimedn': 5.787, 'rtimeup': 8.463}",,,,
time_horizon,"{'apply': True, 'interval': [0, 1], 'distribution_type': 'uniform', 'coefficients': [0, 1]}",1,0,1712103874,ToM+SMSS-3412-1324,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,1,0,0,4,3,0,0,1,2,2,4,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 1.741, 'rtimeup': 1.741}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 1.372, 'rtimeup': 2.085}",,,,,,,,,,,,
payoff_dimensions,"{'SSD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'OOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'SOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'abdication_penalty': 10, 'payoff_values': [1, 9], 'cents_per_payoff': 0}",2,0,1712103879,ToM+SMSS-3412-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,4,2,0,0,1,1,2,4,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 2.217, 'rtimeup': 2.217}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 6.353, 'rtimeup': 7.067}",,,,,,,,,,,,
players,"{'n_humans': 1, 'n_robots': 1, 'can_join_late': True, 'proportion_over_number': True, 'start_when_enough_humans': True, 'exclude_researchers': False}",3,0,1712103887,ToM+SSSS-3421-1342,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[False, False]","{'max': 21, 'min': 21, 'avg': 16.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(3, 11)","(3, 15)","(3, 11)","(3, 13)","(13, 21)","(13, 21)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,1,0,0,4,3,0,0,2,4,1,2,B,,,,,BB,,,BBB,,,,,,,A,,,BB,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 2.768, 'rtimeup': 2.768}",,,,,"{'rtype': 'd', 'rtimedn': 2.778, 'rtimeup': 3.365}",,,"{'rtype': 'select-node', 'rtimedn': 3.099, 'rtimeup': 3.099}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.076, 'rtimeup': 3.324}",,,"{'rtype': 'select-node', 'rtimedn': 2.84, 'rtimeup': 2.84}",,,,,"{'rtype': 'a', 'rtimedn': 3.131, 'rtimeup': 3.67}",,,,
game_speed,"{'seconds_per_node': 8, 'seconds_per_descendant': 1, 'buffer_between_levels': 0}",4,0,1712103895,ToM+SSSS-3421-4231,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[False, False]","{'max': 22, 'min': 22, 'avg': 17.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(4, 12)","(4, 16)","(4, 12)","(4, 14)","(14, 22)","(14, 22)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,4,0,0,4,2,0,0,2,3,1,1,B,,,,,BB,,,BBA,,,,,,,A,,,BA,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 3.591, 'rtimeup': 3.591}",,,,,"{'rtype': 'd', 'rtimedn': 3.053, 'rtimeup': 4.519}",,,"{'rtype': 'select-node', 'rtimedn': 3.852, 'rtimeup': 3.852}",,,,,,,"{'rtype': 'a', 'rtimedn': 1.591, 'rtimeup': 1.888}",,,"{'rtype': 'select-node', 'rtimedn': 3.661, 'rtimeup': 3.661}",,,,,"{'rtype': 'a', 'rtimedn': 1.859, 'rtimeup': 3.638}",,,,
game_trees,"{'preselected': False, 'trees_list': ['BDG-00-1111', 'BDG-01-1113', 'BDG-02-1115', 'BDG-03-1131', 'BDG-04-1133', 'BDG-05-1135', 'BDG-06-1151', 'BDG-07-1153', 'BDG-08-1155', 'BDG-09-1311', 'BDG-10-1313', 'BDG-11-1315', 'BDG-12-1331', 'BDG-13-1333', 'BDG-14-1335', 'BDG-15-1351', 'BDG-16-1353', 'BDG-17-1355', 'BDG-18-1511', 'BDG-19-1513', 'BDG-20-1515', 'BDG-21-1531', 'BDG-22-1533', 'BDG-23-1535', 'BDG-24-1551', 'BDG-25-1553', 'BDG-26-1555', 'BDG-27-3111', 'BDG-28-3113', 'BDG-29-3115', 'BDG-30-3131', 'BDG-31-3133', 'BDG-32-3135', 'BDG-33-3151', 'BDG-34-3153', 'BDG-35-3155', 'BDG-36-3311', 'BDG-37-3313', 'BDG-38-3315', 'BDG-39-3331', 'BDG-40-3333', 'BDG-41-3335', 'BDG-42-3351', 'BDG-43-3353', 'BDG-44-3355', 'BDG-45-3511', 'BDG-46-3513', 'BDG-47-3515', 'BDG-48-3531', 'BDG-49-3533', 'BDG-50-3535', 'BDG-51-3551', 'BDG-52-3553', 'BDG-53-3555', 'BDG-54-5111', 'BDG-55-5113', 'BDG-56-5115', 'BDG-57-5131', 'BDG-58-5133', 'BDG-59-5135', 'BDG-60-5151', 'BDG-61-5153', 'BDG-62-5155', 'BDG-63-5311', 'BDG-64-5313', 'BDG-65-5315', 'BDG-66-5331', 'BDG-67-5333', 'BDG-68-5335', 'BDG-69-5351', 'BDG-70-5353', 'BDG-71-5355', 'BDG-72-5511', 'BDG-73-5513', 'BDG-74-5515', 'BDG-75-5531', 'BDG-76-5533', 'BDG-77-5535', 'BDG-78-5551', 'BDG-79-5553', 'BDG-80-5555']}",5,0,1712103901,ToM+MMMS-3241-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,4,4,1,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 4.498, 'rtimeup': 4.498}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 0.693, 'rtimeup': 2.435}",,,,,,,,,,,,
group_size,"{'distribution': [0, 1, 0, 0], 'apply': True}",6,0,1712103908,ToM+SMSM-2134-1342,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 36, 'min': 36, 'avg': 28.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(6, 14)","(6, 18)","(18, 26)","(18, 28)","(28, 36)","(28, 36)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,1,0,0,1,3,0,0,3,4,4,2,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 5.078, 'rtimeup': 5.078}",,,,,"{'rtype': 'a', 'rtimedn': 3.841, 'rtimeup': 5.075}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 3.003, 'rtimeup': 4.988}",,,"{'rtype': 'select-node', 'rtimedn': 5.138, 'rtimeup': 5.138}",,,,,,,,,
robots,"{'self_value': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'other_value': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'normal_envy': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reverse_envy': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'risk_preference': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'loss_preference': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reasoning_depth': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'time_discount': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reaction_time': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}}",7,0,1712103913,ToM+MMMM-2431-2314,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 36, 'min': 36, 'avg': 28.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(6, 14)","(6, 18)","(18, 26)","(18, 28)","(28, 36)","(28, 36)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,4,3,0,0,3,1,1,4,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 5.569, 'rtimeup': 5.569}",,,,,"{'rtype': 'a', 'rtimedn': 4.362, 'rtimeup': 7.161}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 4.336, 'rtimeup': 4.745}",,,"{'rtype': 'select-node', 'rtimedn': 5.673, 'rtimeup': 5.673}",,,,,,,,,
truthfulness,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",8,0,1712103919,ToM+SSSS-2143-2314,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 37, 'min': 37, 'avg': 29.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(7, 15)","(7, 19)","(19, 27)","(19, 29)","(29, 37)","(29, 37)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,1,3,0,0,4,1,3,4,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 6.231, 'rtimeup': 6.231}",,,,,"{'rtype': 'd', 'rtimedn': 1.013, 'rtimeup': 1.345}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 2.245, 'rtimeup': 6.722}",,,"{'rtype': 'select-node', 'rtimedn': 6.309, 'rtimeup': 6.309}",,,,,,,,,
complexity,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",9,0,1712103925,ToM+MSMM-2314-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['0776ca60-4ef9-4bdf-8b80-12a33c8c36c1', '41e6da42-fc69-461c-90e7-9d6dabceda5b']","['participant', 'robot']","['pentagon', 'bowtie']","['hsla(160, 50%, 58%, 1.0)', 'hsla(162, 70%, 53%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 37, 'min': 37, 'avg': 29.0, 'root': 17}","[0, 0]","[78, 74]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(7, 15)","(7, 19)","(19, 27)","(19, 29)","(29, 37)","(29, 37)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,3,2,0,0,1,4,4,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 6.821, 'rtimeup': 6.821}",,,,,"{'rtype': 'a', 'rtimedn': 3.616, 'rtimeup': 4.065}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 1.715, 'rtimeup': 1.733}",,,"{'rtype': 'select-node', 'rtimedn': 6.9, 'rtimeup': 6.9}",,,,,,,,,
