experiment_setting_keys,experiment_setting_values,round,room,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
rounds,"{'apply': True, 'distribution_type': 'sigmoid', 'interval': [0, 200], 'coefficients': [1, 32]}",0,0,1712190051,ToM+MSMM-2314-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['dbbf7835-a716-4f58-b25a-4c234ebabd56', '03170a14-19bf-4fbc-80f1-dcd424ce70ec']","['participant', 'robot']","['cross', 'jagged-sun']","['hsla(103, 89%, 41%, 1.0)', 'hsla(295, 78%, 41%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 41, 'min': 41, 'avg': 33.0, 'root': 17}","[0, 0]","[64, 66]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(11, 19)","(11, 23)","(23, 31)","(23, 33)","(33, 41)","(33, 41)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,3,2,0,0,1,4,4,1,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 2.547, 'rtimeup': 2.547}",,,,,"{'rtype': 'd', 'rtimedn': 3.92, 'rtimeup': 5.304}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 10.647, 'rtimeup': 12.7}",,,"{'rtype': None, 'rtimedn': 24, 'rtimeup': 24}",,,,,,,,,
time_horizon,"{'apply': True, 'interval': [0, 1], 'distribution_type': 'linear', 'coefficients': [0, 1]}",0,1,1712190055,ToM+MSMM-2314-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['319d37b1-e210-4217-9da3-9ee20fe80d2d', '0d31103a-b29b-43ee-ba80-ec5bc12da5d0']","['participant', 'robot']","['moon', 'jagged-sun']","['hsla(166, 55%, 56%, 1.0)', 'hsla(139, 64%, 55%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 32, 'min': 32, 'avg': 24.0, 'root': 17}","[0, 0]","[94, 94]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(2, 10)","(2, 14)","(14, 22)","(14, 24)","(24, 32)","(24, 32)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,3,2,0,0,1,4,4,1,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 0.643, 'rtimeup': 0.643}",,,,,"{'rtype': 'd', 'rtimedn': 4.21, 'rtimeup': 6.473}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 1.589, 'rtimeup': 3.689}",,,"{'rtype': 'select-node', 'rtimedn': 2.091, 'rtimeup': 2.091}",,,,,,,,,
payoff_dimensions,"{'SSD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'OOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'SOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'abdication_penalty': 10, 'payoff_values': [1, 9], 'cents_per_payoff': 0}",0,2,1712190048,ToM+MSMM-2314-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['ea086597-0cee-42f7-be35-4af3247f013b', '8a818e68-b49b-4757-97e8-125902191928']","['participant', 'robot']","['curvy-x', 'squash']","['hsla(62, 74%, 47%, 1.0)', 'hsla(16, 79%, 55%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 35, 'min': 35, 'avg': 27.0, 'root': 17}","[0, 0]","[69, 84]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(5, 13)","(5, 17)","(17, 25)","(17, 27)","(27, 35)","(27, 35)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,3,2,0,0,1,4,4,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 4.967, 'rtimeup': 4.967}",,,,,"{'rtype': 'a', 'rtimedn': 2.989, 'rtimeup': 4.473}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 3.308, 'rtimeup': 5.739}",,,"{'rtype': None, 'rtimedn': 18, 'rtimeup': 18}",,,,,,,,,
players,"{'n_humans': 4, 'n_robots': 4, 'can_join_late': True, 'proportion_over_number': True, 'start_when_enough_humans': True, 'exclude_researchers': False}",0,3,1712190060,ToM+MSMM-2314-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b2311f5b-3d92-4b5b-9387-e6376b79ac21', '63a70716-bb33-4523-b597-32996d482377']","['participant', 'robot']","['two-triangle', 'flame']","['hsla(199, 50%, 53%, 1.0)', 'hsla(341, 58%, 58%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 48, 'min': 48, 'avg': 40.0, 'root': 17}","[-10, 0]","[-50, 79]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(18, 26)","(18, 30)","(30, 38)","(30, 40)","(40, 48)","(40, 48)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,3,2,0,0,1,4,4,1,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': None, 'rtimedn': 18, 'rtimeup': 18}",,,,,"{'rtype': 'd', 'rtimedn': 8.862, 'rtimeup': 10.879}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 4.721, 'rtimeup': 7.045}",,,"{'rtype': None, 'rtimedn': 31, 'rtimeup': 31}",,,,,,,,,
game_speed,"{'seconds_per_node': 8, 'seconds_per_descendant': 1, 'buffer_between_levels': 0}",1,0,1712190073,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['dbbf7835-a716-4f58-b25a-4c234ebabd56', '03170a14-19bf-4fbc-80f1-dcd424ce70ec']","['participant', 'robot']","['cross', 'jagged-sun']","['hsla(103, 89%, 41%, 1.0)', 'hsla(295, 78%, 41%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[False, False]","{'max': 28, 'min': 28, 'avg': 21.25, 'root': 17}","[0, 0]","[64, 66]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(3, 11)","(3, 15)","(10, 18)","(10, 20)","(20, 28)","(20, 28)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,B,,,,,BB,,,BBB,,,,,,,B,,,BB,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 2.074, 'rtimeup': 2.074}",,,,,"{'rtype': 'd', 'rtimedn': 9.728, 'rtimeup': 12.275}",,,"{'rtype': 'select-node', 'rtimedn': 2.468, 'rtimeup': 2.468}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.091, 'rtimeup': 2.585}",,,"{'rtype': 'select-node', 'rtimedn': 2.277, 'rtimeup': 2.277}",,,,,"{'rtype': 'a', 'rtimedn': 2.709, 'rtimeup': 5.945}",,,,
game_trees,"{'preselected': True, 'trees_list': ['BDG-00-1111', 'BDG-01-1113', 'BDG-02-1115', 'BDG-03-1131', 'BDG-04-1133', 'BDG-05-1135', 'BDG-06-1151', 'BDG-07-1153', 'BDG-08-1155', 'BDG-09-1311', 'BDG-10-1313', 'BDG-11-1315', 'BDG-12-1331', 'BDG-13-1333', 'BDG-14-1335', 'BDG-15-1351', 'BDG-16-1353', 'BDG-17-1355', 'BDG-18-1511', 'BDG-19-1513', 'BDG-20-1515', 'BDG-21-1531', 'BDG-22-1533', 'BDG-23-1535', 'BDG-24-1551', 'BDG-25-1553', 'BDG-26-1555', 'BDG-27-3111', 'BDG-28-3113', 'BDG-29-3115', 'BDG-30-3131', 'BDG-31-3133', 'BDG-32-3135', 'BDG-33-3151', 'BDG-34-3153', 'BDG-35-3155', 'BDG-36-3311', 'BDG-37-3313', 'BDG-38-3315', 'BDG-39-3331', 'BDG-40-3333', 'BDG-41-3335', 'BDG-42-3351', 'BDG-43-3353', 'BDG-44-3355', 'BDG-45-3511', 'BDG-46-3513', 'BDG-47-3515', 'BDG-48-3531', 'BDG-49-3533', 'BDG-50-3535', 'BDG-51-3551', 'BDG-52-3553', 'BDG-53-3555', 'BDG-54-5111', 'BDG-55-5113', 'BDG-56-5115', 'BDG-57-5131', 'BDG-58-5133', 'BDG-59-5135', 'BDG-60-5151', 'BDG-61-5153', 'BDG-62-5155', 'BDG-63-5311', 'BDG-64-5313', 'BDG-65-5315', 'BDG-66-5331', 'BDG-67-5333', 'BDG-68-5335', 'BDG-69-5351', 'BDG-70-5353', 'BDG-71-5355', 'BDG-72-5511', 'BDG-73-5513', 'BDG-74-5515', 'BDG-75-5531', 'BDG-76-5533', 'BDG-77-5535', 'BDG-78-5551', 'BDG-79-5553', 'BDG-80-5555']}",1,1,1712190067,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['319d37b1-e210-4217-9da3-9ee20fe80d2d', '0d31103a-b29b-43ee-ba80-ec5bc12da5d0']","['participant', 'robot']","['moon', 'jagged-sun']","['hsla(166, 55%, 56%, 1.0)', 'hsla(139, 64%, 55%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[94, 94]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 3.299, 'rtimeup': 3.299}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 1.006, 'rtimeup': 1.245}",,,,,,,,,,,,
group_size,"{'distribution': [0, 1, 0, 0], 'apply': True}",1,2,1712190067,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['ea086597-0cee-42f7-be35-4af3247f013b', '8a818e68-b49b-4757-97e8-125902191928']","['participant', 'robot']","['curvy-x', 'squash']","['hsla(62, 74%, 47%, 1.0)', 'hsla(16, 79%, 55%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[69, 84]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 8.555, 'rtimeup': 8.555}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 10.217, 'rtimeup': 12.392}",,,,,,,,,,,,
robots,"{'self_value': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'other_value': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'normal_envy': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reverse_envy': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'risk_preference': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'loss_preference': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reasoning_depth': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'time_discount': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reaction_time': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}}",1,3,1712190112,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b2311f5b-3d92-4b5b-9387-e6376b79ac21', '63a70716-bb33-4523-b597-32996d482377']","['participant', 'robot']","['two-triangle', 'flame']","['hsla(199, 50%, 53%, 1.0)', 'hsla(341, 58%, 58%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 49, 'min': 49, 'avg': 40.75, 'root': 17}","[-10, 0]","[-50, 79]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(18, 26)","(18, 30)","(31, 39)","(31, 41)","(41, 49)","(41, 49)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,B,,,,,BB,,,BBB,,,,,,,B,,,BB,,,,,BBB,,,,,"{'rtype': None, 'rtimedn': 18, 'rtimeup': 18}",,,,,"{'rtype': 'd', 'rtimedn': 7.472, 'rtimeup': 9.146}",,,"{'rtype': None, 'rtimedn': 42, 'rtimeup': 42}",,,,,,,"{'rtype': 'a', 'rtimedn': 10.722, 'rtimeup': 13.492}",,,"{'rtype': None, 'rtimedn': 31, 'rtimeup': 31}",,,,,"{'rtype': 'a', 'rtimedn': 7.919, 'rtimeup': 9.176}",,,,
truthfulness,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",2,0,1712190131,ToM+MSMM-3412-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['dbbf7835-a716-4f58-b25a-4c234ebabd56', '03170a14-19bf-4fbc-80f1-dcd424ce70ec']","['participant', 'robot']","['cross', 'jagged-sun']","['hsla(103, 89%, 41%, 1.0)', 'hsla(295, 78%, 41%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 38, 'min': 38, 'avg': 30.0, 'root': 17}","[0, 0]","[64, 66]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(8, 16)","(8, 20)","(20, 28)","(20, 30)","(30, 38)","(30, 38)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,1,4,2,1,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 3.109, 'rtimeup': 3.109}",,,,,"{'rtype': 'a', 'rtimedn': 2.667, 'rtimeup': 4.034}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 7.59, 'rtimeup': 8.724}",,,"{'rtype': 'select-node', 'rtimedn': 3.361, 'rtimeup': 3.361}",,,,,,,,,
complexity,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",2,1,1712190126,ToM+MSMM-3412-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['319d37b1-e210-4217-9da3-9ee20fe80d2d', '0d31103a-b29b-43ee-ba80-ec5bc12da5d0']","['participant', 'robot']","['moon', 'jagged-sun']","['hsla(166, 55%, 56%, 1.0)', 'hsla(139, 64%, 55%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 38, 'min': 38, 'avg': 30.0, 'root': 17}","[0, 0]","[94, 94]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(8, 16)","(8, 20)","(20, 28)","(20, 30)","(30, 38)","(30, 38)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,1,4,2,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 3.607, 'rtimeup': 3.607}",,,,,"{'rtype': 'd', 'rtimedn': 9.29, 'rtimeup': 11.639}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 7.421, 'rtimeup': 8.693}",,,"{'rtype': 'select-node', 'rtimedn': 3.821, 'rtimeup': 3.821}",,,,,,,,,
