experiment_setting_keys,experiment_setting_values,round,room,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
rounds,"{'apply': True, 'distribution_type': 'sigmoid', 'interval': [0, 200], 'coefficients': [1, 32]}",0,0,1712167852,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['ef0b858d-3058-4916-84be-c5c50d61c991', '0ac27cc7-ee9e-4926-8515-7e4a606b22b7']","['participant', 'robot']","['hexagon', 'flame']","['hsla(351, 54%, 55%, 1.0)', 'hsla(352, 54%, 39%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[83, 94]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 84.34, 'rtimeup': 84.34}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 4.456, 'rtimeup': 6.4}",,,,,,,,,,,,
time_horizon,"{'apply': True, 'interval': [0, 1], 'distribution_type': 'uniform', 'coefficients': [0, 1]}",0,1,1712167855,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['2b00f191-2845-470e-8fba-c9cd178c360c', '5ac2b57a-0e7c-4e32-8128-7bd34f252f57']","['participant', 'robot']","['squash', 'bowtie']","['hsla(248, 95%, 52%, 1.0)', 'hsla(193, 66%, 60%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[85, 90]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 296.851, 'rtimeup': 296.851}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 0.473, 'rtimeup': 2.949}",,,,,,,,,,,,
payoff_dimensions,"{'SSD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'OOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'SOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'abdication_penalty': 10, 'payoff_values': [1, 9], 'cents_per_payoff': 0}",0,2,1712167858,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['6020d7a4-1d7a-4ac3-81cb-c4afac037ecf', '947e0f16-8363-40a1-a674-b267b1aac25f']","['participant', 'robot']","['ghost', 'flower']","['hsla(80, 94%, 60%, 1.0)', 'hsla(278, 70%, 37%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 72, 'min': 72, 'avg': 66.5, 'root': 17}","[-10, 0]","[79, 82]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(52, 60)","(52, 64)","(54, 62)","(54, 64)","(64, 72)","(64, 72)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,B,,,,,BB,,,BBB,,,,,,,B,,,BB,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 52.797, 'rtimeup': 52.797}",,,,,"{'rtype': 'a', 'rtimedn': 7.788, 'rtimeup': 9.824}",,,"{'rtype': 'select-node', 'rtimedn': 53.175, 'rtimeup': 53.175}",,,,,,,"{'rtype': 'd', 'rtimedn': 1.535, 'rtimeup': 3.69}",,,"{'rtype': 'select-node', 'rtimedn': 53.017, 'rtimeup': 53.017}",,,,,"{'rtype': 'a', 'rtimedn': 3.829, 'rtimeup': 4.615}",,,,
players,"{'n_humans': 8, 'n_robots': 8, 'can_join_late': True, 'proportion_over_number': True, 'start_when_enough_humans': True, 'exclude_researchers': False}",0,3,1712167861,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['00dec757-4a0b-4ee9-adda-967de29742c4', '63496310-19e6-4760-94dd-fa8e874b49e6']","['participant', 'robot']","['flower', 'pentagon']","['hsla(60, 84%, 45%, 1.0)', 'hsla(154, 84%, 44%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[84, 87]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 88.247, 'rtimeup': 88.247}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 1.328, 'rtimeup': 4.562}",,,,,,,,,,,,
game_speed,"{'seconds_per_node': 8, 'seconds_per_descendant': 1, 'buffer_between_levels': 0}",0,4,1712167855,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['7ef5f5ea-a0c9-4e18-a5e0-3f3b17558956', 'b346a9fc-555d-4784-8a1f-7b0022ea22fa']","['participant', 'robot']","['teardrop', 'arrow-head']","['hsla(145, 56%, 38%, 1.0)', 'hsla(39, 65%, 42%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 115, 'min': 115, 'avg': 109.75, 'root': 17}","[-10, 0]","[84, 87]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(96, 104)","(96, 108)","(97, 105)","(97, 107)","(107, 115)","(107, 115)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,B,,,,,BB,,,BBB,,,,,,,B,,,BB,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 96.16, 'rtimeup': 96.16}",,,,,"{'rtype': 'a', 'rtimedn': 3.688, 'rtimeup': 3.946}",,,"{'rtype': 'select-node', 'rtimedn': 96.389, 'rtimeup': 96.389}",,,,,,,"{'rtype': 'a', 'rtimedn': 1.41, 'rtimeup': 5.419}",,,"{'rtype': 'select-node', 'rtimedn': 96.302, 'rtimeup': 96.302}",,,,,"{'rtype': 'a', 'rtimedn': 4.312, 'rtimeup': 5.643}",,,,
game_trees,"{'preselected': False, 'trees_list': ['BDG-00-1111', 'BDG-01-1113', 'BDG-02-1115', 'BDG-03-1131', 'BDG-04-1133', 'BDG-05-1135', 'BDG-06-1151', 'BDG-07-1153', 'BDG-08-1155', 'BDG-09-1311', 'BDG-10-1313', 'BDG-11-1315', 'BDG-12-1331', 'BDG-13-1333', 'BDG-14-1335', 'BDG-15-1351', 'BDG-16-1353', 'BDG-17-1355', 'BDG-18-1511', 'BDG-19-1513', 'BDG-20-1515', 'BDG-21-1531', 'BDG-22-1533', 'BDG-23-1535', 'BDG-24-1551', 'BDG-25-1553', 'BDG-26-1555', 'BDG-27-3111', 'BDG-28-3113', 'BDG-29-3115', 'BDG-30-3131', 'BDG-31-3133', 'BDG-32-3135', 'BDG-33-3151', 'BDG-34-3153', 'BDG-35-3155', 'BDG-36-3311', 'BDG-37-3313', 'BDG-38-3315', 'BDG-39-3331', 'BDG-40-3333', 'BDG-41-3335', 'BDG-42-3351', 'BDG-43-3353', 'BDG-44-3355', 'BDG-45-3511', 'BDG-46-3513', 'BDG-47-3515', 'BDG-48-3531', 'BDG-49-3533', 'BDG-50-3535', 'BDG-51-3551', 'BDG-52-3553', 'BDG-53-3555', 'BDG-54-5111', 'BDG-55-5113', 'BDG-56-5115', 'BDG-57-5131', 'BDG-58-5133', 'BDG-59-5135', 'BDG-60-5151', 'BDG-61-5153', 'BDG-62-5155', 'BDG-63-5311', 'BDG-64-5313', 'BDG-65-5315', 'BDG-66-5331', 'BDG-67-5333', 'BDG-68-5335', 'BDG-69-5351', 'BDG-70-5353', 'BDG-71-5355', 'BDG-72-5511', 'BDG-73-5513', 'BDG-74-5515', 'BDG-75-5531', 'BDG-76-5533', 'BDG-77-5535', 'BDG-78-5551', 'BDG-79-5553', 'BDG-80-5555']}",0,5,1712167860,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['1e2da22e-4fbd-49b1-bb08-08a3bf3851f4', '27cadbaf-cb91-4978-af4d-3d842fafa065']","['participant', 'robot']","['dodecagon', 'two-triangle']","['hsla(65, 65%, 62%, 1.0)', 'hsla(89, 89%, 38%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 105, 'min': 105, 'avg': 99.75, 'root': 17}","[-10, 0]","[85, 92]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(86, 94)","(86, 98)","(87, 95)","(87, 97)","(97, 105)","(97, 105)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,B,,,,,BB,,,BBB,,,,,,,B,,,BB,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 86.5, 'rtimeup': 86.5}",,,,,"{'rtype': 'd', 'rtimedn': 5.044, 'rtimeup': 6.875}",,,"{'rtype': 'select-node', 'rtimedn': 87.048, 'rtimeup': 87.048}",,,,,,,"{'rtype': 'd', 'rtimedn': 1.108, 'rtimeup': 3.326}",,,"{'rtype': 'select-node', 'rtimedn': 86.841, 'rtimeup': 86.841}",,,,,"{'rtype': 'd', 'rtimedn': 3.446, 'rtimeup': 5.025}",,,,
group_size,"{'distribution': [0, 1, 0, 0], 'apply': True}",0,6,1712167849,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['4fa56d8e-2e12-497f-b937-1d42ea7543ff', 'af8a27aa-6a1e-4bc8-8a40-a4f527308485']","['participant', 'robot']","['arrow-head', 'arrow-head']","['hsla(89, 92%, 39%, 1.0)', 'hsla(264, 54%, 37%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[59, 80]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 226.741, 'rtimeup': 226.741}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 8.304, 'rtimeup': 8.587}",,,,,,,,,,,,
robots,"{'self_value': {'apply': True, 'distribution_type': 'point', 'interval': [1, 1], 'coefficients': [1, 1]}, 'other_value': {'apply': True, 'distribution_type': 'point', 'interval': [-2, -2], 'coefficients': [-2, 1]}, 'normal_envy': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reverse_envy': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'risk_preference': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'loss_preference': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reasoning_depth': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'time_discount': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'reaction_time': {'apply': False, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}}",0,7,1712167855,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['f15d353b-aed0-4d84-9126-6f7ecfcb8a05', 'bf2a1615-06e9-4ad0-aada-72b9d208127d']","['participant', 'robot']","['cross', 'teardrop']","['hsla(52, 50%, 43%, 1.0)', 'hsla(39, 76%, 59%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[71, 70]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 87.705, 'rtimeup': 87.705}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 3.074, 'rtimeup': 3.644}",,,,,,,,,,,,
truthfulness,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",1,0,1712167868,ToM+SMSS-3412-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['ef0b858d-3058-4916-84be-c5c50d61c991', '0ac27cc7-ee9e-4926-8515-7e4a606b22b7']","['participant', 'robot']","['hexagon', 'flame']","['hsla(351, 54%, 55%, 1.0)', 'hsla(352, 54%, 39%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[83, 94]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,4,0,0,4,2,0,0,1,1,2,3,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 85.903, 'rtimeup': 85.903}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 1.031, 'rtimeup': 1.836}",,,,,,,,,,,,
complexity,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",1,1,1712167870,ToM+SMSS-3412-4213,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['2b00f191-2845-470e-8fba-c9cd178c360c', '5ac2b57a-0e7c-4e32-8128-7bd34f252f57']","['participant', 'robot']","['squash', 'bowtie']","['hsla(248, 95%, 52%, 1.0)', 'hsla(193, 66%, 60%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[85, 90]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,4,0,0,4,2,0,0,1,1,2,3,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 298.307, 'rtimeup': 298.307}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 6.218, 'rtimeup': 8.14}",,,,,,,,,,,,
