experiment_setting_keys,experiment_setting_values,round,room,batch,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
rounds,"{'apply': True, 'distribution_type': 'sigmoid', 'interval': [0, 200], 'coefficients': [1, 32]}",0,0,72,1713288150,ToM+SSSM-3421-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['a2b3311e-90df-4608-9513-ff570a4e65e8', '4ebd3d4e-9279-40a4-85d3-1071761a6e42']","['participant', 'robot']","['stop-sign', 'star-six']","['hsla(351, 67%, 55%, 1.0)', 'hsla(124, 63%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[False, False]","{'max': 33, 'min': 33, 'avg': 28.0, 'root': 17}","[0, 0]","[83, 76]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(15, 23)","(15, 27)","(15, 23)","(15, 25)","(25, 33)","(25, 33)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,2,4,1,1,B,,,,,BB,,,BBB,,,,,,,A,,,BA,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 14.263, 'rtimeup': 14.263}",,,,,"{'rtype': 'a', 'rtimedn': 1.659, 'rtimeup': 2.426}",,,"{'rtype': 'select-node', 'rtimedn': 14.752, 'rtimeup': 14.752}",,,,,,,"{'rtype': 'a', 'rtimedn': 3.98, 'rtimeup': 5.558}",,,"{'rtype': 'select-node', 'rtimedn': 14.442, 'rtimeup': 14.442}",,,,,"{'rtype': 'd', 'rtimedn': 5.791, 'rtimeup': 5.847}",,,,
time_horizon,"{'apply': True, 'interval': [0, 1], 'distribution_type': 'linear', 'coefficients': [0, 1]}",0,1,72,1713288143,ToM+SSSM-3421-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3dab4c5d-0f80-4f46-bfec-542968cf7c47', '4aa4313a-3696-4f8a-811c-01a9ef00a7d9']","['participant', 'robot']","['dent-square', 'dodecagon']","['hsla(274, 93%, 59%, 1.0)', 'hsla(287, 52%, 62%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[83, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,2,4,1,1,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 7.393, 'rtimeup': 7.393}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 10.198, 'rtimeup': 11.935}",,,,,,,,,,,,
payoff_dimensions,"{'SSD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'OOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'SOD': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}, 'abdication_penalty': 10, 'payoff_values': [1, 9], 'cents_per_payoff': 0}",0,2,72,1713288159,ToM+SSSM-3421-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b16f11b4-55be-4071-b46b-c1210760e477', '6021ebee-c33c-4c5d-ac3f-490ecb89c8dd']","['participant', 'robot']","['arrow-head', 'pentagon']","['hsla(230, 52%, 61%, 1.0)', 'hsla(297, 67%, 47%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,5,after,"[False, False]","{'max': 31, 'min': 31, 'avg': 26.0, 'root': 17}","[0, 0]","[86, 105]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(13, 21)","(13, 25)","(13, 21)","(13, 23)","(23, 31)","(23, 31)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,2,4,1,1,B,,,,,BB,,,BBA,,,,,,,A,,,BA,,,,,BBA,,,,,"{'rtype': 'select-node', 'rtimedn': 12.713, 'rtimeup': 12.713}",,,,,"{'rtype': 'a', 'rtimedn': 9.306, 'rtimeup': 12.432}",,,"{'rtype': 'select-node', 'rtimedn': 14.16, 'rtimeup': 14.16}",,,,,,,"{'rtype': 'd', 'rtimedn': 1.562, 'rtimeup': 1.675}",,,"{'rtype': 'select-node', 'rtimedn': 12.998, 'rtimeup': 12.998}",,,,,"{'rtype': 'a', 'rtimedn': 5.631, 'rtimeup': 6.203}",,,,
players,"{'n_humans': 3, 'n_robots': 3, 'can_join_late': True, 'proportion_over_number': True, 'start_when_enough_humans': True, 'exclude_researchers': False}",1,0,72,1713288168,ToM+MSMM-2314-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['a2b3311e-90df-4608-9513-ff570a4e65e8', '4ebd3d4e-9279-40a4-85d3-1071761a6e42']","['participant', 'robot']","['stop-sign', 'star-six']","['hsla(351, 67%, 55%, 1.0)', 'hsla(124, 63%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[83, 76]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,3,2,0,0,1,4,4,1,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 16.325, 'rtimeup': 16.325}",,,,,"{'rtype': 'a', 'rtimedn': 7.202, 'rtimeup': 7.529}",,,,,,,,,,"{'rtype': 'a', 'rtimedn': 3.89, 'rtimeup': 4.369}",,,"{'rtype': 'select-node', 'rtimedn': 16.529, 'rtimeup': 16.529}",,,,,,,,,
game_speed,"{'seconds_per_node': 8, 'seconds_per_descendant': 1, 'buffer_between_levels': 0}",1,1,72,1713288178,ToM+MSMM-2314-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3dab4c5d-0f80-4f46-bfec-542968cf7c47', '4aa4313a-3696-4f8a-811c-01a9ef00a7d9']","['participant', 'robot']","['dent-square', 'dodecagon']","['hsla(274, 93%, 59%, 1.0)', 'hsla(287, 52%, 62%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 41, 'min': 41, 'avg': 33.0, 'root': 17}","[0, 0]","[83, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(11, 19)","(11, 23)","(23, 31)","(23, 33)","(33, 41)","(33, 41)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,3,2,0,0,1,4,4,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 10.394, 'rtimeup': 10.394}",,,,,"{'rtype': 'a', 'rtimedn': 5.467, 'rtimeup': 7.435}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 0.722, 'rtimeup': 0.896}",,,"{'rtype': 'select-node', 'rtimedn': 10.937, 'rtimeup': 10.937}",,,,,,,,,
game_trees,"{'preselected': True, 'trees_list': ['ToM+MMMM-2143-3241', 'ToM+MMMM-2341-3214', 'ToM+MMMM-2431-2314', 'ToM+MMMM-3421-2314', 'ToM+MMMS-2143-2341', 'ToM+MMMS-3142-2341', 'ToM+MMMS-3241-3241', 'ToM+MMMS-3421-3214', 'ToM+MSMM-2134-3214', 'ToM+MSMM-2314-3241', 'ToM+MSMM-2413-2341', 'ToM+MSMM-3412-2341', 'ToM+MSMS-2134-2314', 'ToM+MSMS-3124-2314', 'ToM+MSMS-3214-3214', 'ToM+MSMS-3412-3241', 'ToM+SMSM-2134-1342', 'ToM+SMSM-2134-3241', 'ToM+SMSM-2134-4231', 'ToM+SMSM-3412-2314', 'ToM+SMSS-2134-2341', 'ToM+SMSS-3412-1324', 'ToM+SMSS-3412-3214', 'ToM+SMSS-3412-4213', 'ToM+SSSM-2143-1324', 'ToM+SSSM-2143-3214', 'ToM+SSSM-2143-4213', 'ToM+SSSM-3421-2341', 'ToM+SSSS-2143-2314', 'ToM+SSSS-3421-1342', 'ToM+SSSS-3421-3241', 'ToM+SSSS-3421-4231', 'Trust~135-135', 'Trust~135-153', 'Trust~135-315', 'Trust~135-351', 'Trust~135-513', 'Trust~135-531', 'Trust~153-135', 'Trust~153-153', 'Trust~153-315', 'Trust~153-351', 'Trust~153-513', 'Trust~153-531', 'Trust~315-135', 'Trust~315-153', 'Trust~315-315', 'Trust~315-351', 'Trust~315-513', 'Trust~315-531', 'Trust~351-135', 'Trust~351-153', 'Trust~351-315', 'Trust~351-351', 'Trust~351-513', 'Trust~351-531', 'Trust~513-135', 'Trust~513-153', 'Trust~513-315', 'Trust~513-351', 'Trust~513-513', 'Trust~513-531', 'Trust~531-135', 'Trust~531-153', 'Trust~531-315', 'Trust~531-351', 'Trust~531-513', 'Trust~531-531']}",1,2,72,1713288172,ToM+MSMM-2314-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b16f11b4-55be-4071-b46b-c1210760e477', '6021ebee-c33c-4c5d-ac3f-490ecb89c8dd']","['participant', 'robot']","['arrow-head', 'pentagon']","['hsla(230, 52%, 61%, 1.0)', 'hsla(297, 67%, 47%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 46, 'min': 46, 'avg': 38.0, 'root': 17}","[0, 0]","[86, 105]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(16, 24)","(16, 28)","(28, 36)","(28, 38)","(38, 46)","(38, 46)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,3,2,0,0,1,4,4,1,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 15.22, 'rtimeup': 15.22}",,,,,"{'rtype': 'a', 'rtimedn': 2.33, 'rtimeup': 3.174}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.585, 'rtimeup': 2.836}",,,"{'rtype': 'select-node', 'rtimedn': 15.483, 'rtimeup': 15.483}",,,,,,,,,
group_size,"{'distribution': [0, 1, 0, 0], 'apply': True}",2,0,72,1713288189,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['a2b3311e-90df-4608-9513-ff570a4e65e8', '4ebd3d4e-9279-40a4-85d3-1071761a6e42']","['participant', 'robot']","['stop-sign', 'star-six']","['hsla(351, 67%, 55%, 1.0)', 'hsla(124, 63%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 37, 'min': 37, 'avg': 31.75, 'root': 17}","[-10, 0]","[83, 76]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(18, 26)","(18, 30)","(19, 27)","(19, 29)","(29, 37)","(29, 37)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,B,,,,,BB,,,BBB,,,,,,,B,,,BB,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 18.368, 'rtimeup': 18.368}",,,,,"{'rtype': 'd', 'rtimedn': 5.962, 'rtimeup': 7.159}",,,"{'rtype': 'select-node', 'rtimedn': 18.606, 'rtimeup': 18.606}",,,,,,,"{'rtype': 'a', 'rtimedn': 0.599, 'rtimeup': 0.619}",,,"{'rtype': 'select-node', 'rtimedn': 18.471, 'rtimeup': 18.471}",,,,,"{'rtype': 'd', 'rtimedn': 3.66, 'rtimeup': 4.875}",,,,
robots,"{'self_value': {'apply': True, 'distribution_type': 'point', 'interval': [1, 1], 'coefficients': [1, 1]}, 'other_value': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'normal_envy': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'reverse_envy': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'risk_preference': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'loss_preference': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'reasoning_depth': {'apply': True, 'distribution_type': 'point', 'interval': [3, 3], 'coefficients': [3, 1]}, 'time_discount': {'apply': True, 'distribution_type': 'point', 'interval': [0, 0], 'coefficients': [0, 1]}, 'reaction_time': {'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}}",2,1,72,1713288201,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3dab4c5d-0f80-4f46-bfec-542968cf7c47', '4aa4313a-3696-4f8a-811c-01a9ef00a7d9']","['participant', 'robot']","['dent-square', 'dodecagon']","['hsla(274, 93%, 59%, 1.0)', 'hsla(287, 52%, 62%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[False, False]","{'max': 31, 'min': 31, 'avg': 26.0, 'root': 17}","[0, 0]","[83, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(13, 21)","(13, 25)","(13, 21)","(13, 23)","(23, 31)","(23, 31)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,B,,,,,BB,,,BBB,,,,,,,B,,,BB,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 12.359, 'rtimeup': 12.359}",,,,,"{'rtype': 'd', 'rtimedn': 9.847, 'rtimeup': 12.342}",,,"{'rtype': 'select-node', 'rtimedn': 13.142, 'rtimeup': 13.142}",,,,,,,"{'rtype': 'a', 'rtimedn': 2.049, 'rtimeup': 5.309}",,,"{'rtype': 'select-node', 'rtimedn': 12.696, 'rtimeup': 12.696}",,,,,"{'rtype': 'd', 'rtimedn': 3.777, 'rtimeup': 7.074}",,,,
truthfulness,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",2,2,72,1713288192,ToM+MSMS-3214-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b16f11b4-55be-4071-b46b-c1210760e477', '6021ebee-c33c-4c5d-ac3f-490ecb89c8dd']","['participant', 'robot']","['arrow-head', 'pentagon']","['hsla(230, 52%, 61%, 1.0)', 'hsla(297, 67%, 47%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,6,after,"[True, False]","{'max': 36, 'min': 36, 'avg': 30.75, 'root': 17}","[-10, 0]","[86, 105]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(18, 26)","(18, 28)","(28, 36)","(28, 36)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,2,2,0,0,1,1,4,4,B,,,,,BB,,,BBB,,,,,,,B,,,BB,,,,,BBB,,,,,"{'rtype': 'select-node', 'rtimedn': 17.009, 'rtimeup': 17.009}",,,,,"{'rtype': 'a', 'rtimedn': 7.674, 'rtimeup': 8.535}",,,"{'rtype': 'select-node', 'rtimedn': 17.427, 'rtimeup': 17.427}",,,,,,,"{'rtype': 'a', 'rtimedn': 6.039, 'rtimeup': 8.776}",,,"{'rtype': 'select-node', 'rtimedn': 17.175, 'rtimeup': 17.175}",,,,,"{'rtype': 'a', 'rtimedn': 2.816, 'rtimeup': 3.259}",,,,
complexity,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",3,0,72,1713288211,ToM+MSMM-2413-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['a2b3311e-90df-4608-9513-ff570a4e65e8', '4ebd3d4e-9279-40a4-85d3-1071761a6e42']","['participant', 'robot']","['stop-sign', 'star-six']","['hsla(351, 67%, 55%, 1.0)', 'hsla(124, 63%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 50, 'min': 50, 'avg': 42.0, 'root': 17}","[-10, 0]","[83, 76]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(20, 28)","(20, 32)","(32, 40)","(32, 42)","(42, 50)","(42, 50)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,4,3,0,0,1,4,3,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 20.775, 'rtimeup': 20.775}",,,,,"{'rtype': 'a', 'rtimedn': 4.491, 'rtimeup': 6.352}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 1.227, 'rtimeup': 2.19}",,,"{'rtype': 'select-node', 'rtimedn': 20.86, 'rtimeup': 20.86}",,,,,,,,,
