iters,model,collpase,depth_schedule,base_noise,𝑝(𝑘=1),G1,G2,G3,G4,G1_share,G2_share,G3_share,G4_share,total_errors,fit
1000,NPM,False,exp,0.3,0.0,50,9,51,4,0.438596,0.078947,0.447368,0.035088,114,0.4560701754385965
1000,NPM,False,exp,0.3,0.16666666666666666,562,84,584,87,0.426727,0.063781,0.443432,0.066059,1317,0.4876810933940774
1000,NPM,False,exp,0.3,0.3333333333333333,1099,191,1154,190,0.417236,0.072513,0.438117,0.072134,2634,0.5172938496583144
1000,NPM,False,exp,0.3,0.5,1718,302,1661,280,0.433729,0.076243,0.419339,0.070689,3961,0.5218651855592022
1000,NPM,False,exp,0.3,0.6666666666666666,2196,396,2206,381,0.42402,0.076463,0.425951,0.073566,5179,0.528057926240587
1000,NPM,False,exp,0.3,0.8333333333333334,2732,480,2785,463,0.42291,0.074303,0.431115,0.071672,6460,0.5199504643962849
1000,NPM,False,exp,0.3,1.0,3276,580,3301,564,0.424297,0.07512,0.427535,0.073048,7721,0.5243346716746535
1000,NPM,False,exp,0.6,0.0,3237,557,3301,583,0.421594,0.072545,0.42993,0.075931,7678,0.5249523313362855
1000,NPM,False,exp,0.6,0.16666666666666666,3475,859,3549,889,0.396147,0.097925,0.404583,0.101345,8772,0.6265408116735066
1000,NPM,False,exp,0.6,0.3333333333333333,3686,1180,3693,1210,0.377316,0.12079,0.378033,0.123861,9769,0.7173028969188249
1000,NPM,False,exp,0.6,0.5,3913,1386,4006,1405,0.365359,0.129412,0.374043,0.131186,10710,0.7491951447245565
1000,NPM,False,exp,0.6,0.6666666666666666,4144,1702,4103,1733,0.354734,0.145694,0.351224,0.148348,11682,0.8160842321520287
1000,NPM,False,exp,0.6,0.8333333333333334,4347,2074,4345,2004,0.340407,0.162412,0.340251,0.15693,12770,0.8666844166014095
1000,NPM,False,exp,0.6,1.0,4673,2326,4568,2306,0.336841,0.167664,0.329273,0.166222,13873,0.895771931089166
1000,NPM,False,exp,1.2,0.0,4589,2418,4555,2300,0.331049,0.174434,0.328596,0.165921,13862,0.908709854277882
1000,NPM,False,exp,1.2,0.16666666666666666,4499,2593,4551,2451,0.319214,0.183979,0.322903,0.173904,14094,0.9258075776926351
1000,NPM,False,exp,1.2,0.3333333333333333,4515,2639,4528,2667,0.314656,0.183915,0.315562,0.185867,14349,0.949733221827305
1000,NPM,False,exp,1.2,0.5,4530,2813,4520,2839,0.308121,0.191335,0.307441,0.193103,14702,0.9593309753774997
1000,NPM,False,exp,1.2,0.6666666666666666,4523,3037,4557,2952,0.300153,0.20154,0.302409,0.195899,15069,0.9389208308447807
1000,NPM,False,exp,1.2,0.8333333333333334,4482,3137,4494,3159,0.293478,0.205409,0.294264,0.206849,15272,0.9311828182294395
1000,NPM,False,exp,1.2,1.0,4459,3316,4446,3392,0.285595,0.212387,0.284763,0.217255,15613,0.9127160699417153
1000,NPM,False,exp,2.4,0.0,4479,3264,4452,3285,0.289341,0.210853,0.287597,0.212209,15480,0.9202945736434108
1000,NPM,False,exp,2.4,0.16666666666666666,4414,3386,4426,3428,0.281973,0.216303,0.282739,0.218986,15654,0.9014237894467868
1000,NPM,False,exp,2.4,0.3333333333333333,4380,3497,4338,3420,0.280141,0.223665,0.277454,0.21874,15635,0.887190278221938
1000,NPM,False,exp,2.4,0.5,4327,3525,4391,3515,0.274591,0.223696,0.278652,0.223061,15758,0.8784855946186064
1000,NPM,False,exp,2.4,0.6666666666666666,4294,3606,4293,3570,0.27241,0.228764,0.272347,0.22648,15763,0.8615134174966694
1000,NPM,False,exp,2.4,0.8333333333333334,4254,3621,4342,3629,0.268459,0.228512,0.274012,0.229017,15846,0.8569425722579831
1000,NPM,False,exp,2.4,1.0,4257,3702,4242,3674,0.268157,0.233197,0.267213,0.231433,15875,0.8427401574803149
