participant_number,game_group,n_correct,n_mistaken,n_abdicated,n_total,error_rate,median_choice_rt,median_prediction_rt,group_id,group_label,bm_pred,nm_pred
55,⊥⊥,2.0,6.0,0.0,8.0,0.75,7.4626716375,9.802075743,G1,G1: both diagnostic,High,High
55,⊥⊤,4.0,4.0,0.0,8.0,0.5,6.3679754735,6.5923961405,G2,G2: BM-only diagnostic,High,Low
55,⊤⊥,3.0,5.0,0.0,8.0,0.625,5.459936619,7.500040293,G3,G3: NM-only diagnostic,Low,High
55,⊤⊤,4.0,3.0,1.0,8.0,0.42857142857142855,7.342524529,11.34442067,G4,G4: neither diagnostic,Low,Low
56,⊥⊥,0.0,8.0,0.0,8.0,1.0,2.257724285,4.152019858,G1,G1: both diagnostic,High,High
56,⊥⊤,2.0,5.0,1.0,8.0,0.7142857142857143,1.775437117,10.96238399,G2,G2: BM-only diagnostic,High,Low
56,⊤⊥,4.0,3.0,1.0,8.0,0.42857142857142855,2.453731775,4.917819380499999,G3,G3: NM-only diagnostic,Low,High
56,⊤⊤,1.0,6.0,1.0,8.0,0.8571428571428571,3.322002888,5.044533014,G4,G4: neither diagnostic,Low,Low
57,⊥⊥,5.0,3.0,0.0,8.0,0.375,1.761732459,3.153701544,G1,G1: both diagnostic,High,High
57,⊥⊤,4.0,4.0,0.0,8.0,0.5,1.956274748,3.2835603950000003,G2,G2: BM-only diagnostic,High,Low
57,⊤⊥,2.0,4.0,2.0,8.0,0.6666666666666666,2.2068059445,3.932601452,G3,G3: NM-only diagnostic,Low,High
57,⊤⊤,5.0,3.0,0.0,8.0,0.375,1.8093224765,3.030352831,G4,G4: neither diagnostic,Low,Low
58,⊥⊥,2.0,6.0,0.0,8.0,0.75,3.1982212065,4.356244445,G1,G1: both diagnostic,High,High
58,⊥⊤,5.0,3.0,0.0,8.0,0.375,2.9144371745,4.725454807,G2,G2: BM-only diagnostic,High,Low
58,⊤⊥,4.0,4.0,0.0,8.0,0.5,3.484840155,6.349462509,G3,G3: NM-only diagnostic,Low,High
58,⊤⊤,4.0,2.0,2.0,8.0,0.3333333333333333,2.5689970255,4.291795015,G4,G4: neither diagnostic,Low,Low
59,⊥⊥,2.0,6.0,0.0,8.0,0.75,3.8049371240000003,6.1294908525,G1,G1: both diagnostic,High,High
59,⊥⊤,5.0,3.0,0.0,8.0,0.375,2.4509204625,6.386038065,G2,G2: BM-only diagnostic,High,Low
59,⊤⊥,3.0,5.0,0.0,8.0,0.625,4.276073337,5.700607538,G3,G3: NM-only diagnostic,Low,High
59,⊤⊤,7.0,1.0,0.0,8.0,0.125,3.4252175095,4.386646271,G4,G4: neither diagnostic,Low,Low
60,⊥⊥,3.0,5.0,0.0,8.0,0.625,3.8951604365000003,5.578683138,G1,G1: both diagnostic,High,High
60,⊥⊤,4.0,4.0,0.0,8.0,0.5,3.4469445945,7.0512654779999995,G2,G2: BM-only diagnostic,High,Low
60,⊤⊥,3.0,5.0,0.0,8.0,0.625,4.045027494499999,5.521299601,G3,G3: NM-only diagnostic,Low,High
60,⊤⊤,6.0,2.0,0.0,8.0,0.25,4.8182313445,7.898950576999999,G4,G4: neither diagnostic,Low,Low
61,⊥⊥,4.0,4.0,0.0,8.0,0.5,4.492189526500001,5.6783111095,G1,G1: both diagnostic,High,High
61,⊥⊤,4.0,4.0,0.0,8.0,0.5,5.3877831695000005,8.975590705999998,G2,G2: BM-only diagnostic,High,Low
61,⊤⊥,2.0,6.0,0.0,8.0,0.75,4.327311993,7.581387042999999,G3,G3: NM-only diagnostic,Low,High
61,⊤⊤,7.0,0.0,1.0,8.0,0.0,4.069700003,5.6470565795,G4,G4: neither diagnostic,Low,Low
62,⊥⊥,3.0,5.0,0.0,8.0,0.625,5.407843590000001,7.551193953,G1,G1: both diagnostic,High,High
62,⊥⊤,5.0,3.0,0.0,8.0,0.375,7.427831769,9.857007743,G2,G2: BM-only diagnostic,High,Low
62,⊤⊥,0.0,8.0,0.0,8.0,1.0,4.840866089,8.153270484,G3,G3: NM-only diagnostic,Low,High
62,⊤⊤,5.0,3.0,0.0,8.0,0.375,5.6205872295,9.843603134,G4,G4: neither diagnostic,Low,Low
63,⊥⊥,4.0,4.0,0.0,8.0,0.5,5.707029462,7.621326089,G1,G1: both diagnostic,High,High
63,⊥⊤,6.0,2.0,0.0,8.0,0.25,5.1389324665,7.217527032,G2,G2: BM-only diagnostic,High,Low
63,⊤⊥,2.0,6.0,0.0,8.0,0.75,5.081387042999999,7.581387042999999,G3,G3: NM-only diagnostic,Low,High
63,⊤⊤,8.0,0.0,0.0,8.0,0.0,6.477686047500001,5.239070535,G4,G4: neither diagnostic,Low,Low
64,⊥⊥,2.0,6.0,0.0,8.0,0.75,3.073339462,4.327231406999999,G1,G1: both diagnostic,High,High
64,⊥⊤,6.0,2.0,0.0,8.0,0.25,3.474093914,4.6439130305,G2,G2: BM-only diagnostic,High,Low
64,⊤⊥,4.0,4.0,0.0,8.0,0.5,3.231260419,3.9808781145,G3,G3: NM-only diagnostic,Low,High
64,⊤⊤,5.0,3.0,0.0,8.0,0.375,3.0617679355,5.297917128,G4,G4: neither diagnostic,Low,Low
65,⊥⊥,4.0,4.0,0.0,8.0,0.5,5.134093523000001,7.777443886,G1,G1: both diagnostic,High,High
65,⊥⊤,7.0,1.0,0.0,8.0,0.125,4.6741313935,6.9902671575,G2,G2: BM-only diagnostic,High,Low
65,⊤⊥,3.0,5.0,0.0,8.0,0.625,5.391003847,11.419864775,G3,G3: NM-only diagnostic,Low,High
65,⊤⊤,7.0,1.0,0.0,8.0,0.125,3.9393053050000004,9.834157228,G4,G4: neither diagnostic,Low,Low
66,⊥⊥,2.0,6.0,0.0,8.0,0.75,4.929370284,6.929370284000001,G1,G1: both diagnostic,High,High
66,⊥⊤,7.0,1.0,0.0,8.0,0.125,5.375346303,6.412435293,G2,G2: BM-only diagnostic,High,Low
66,⊤⊥,4.0,4.0,0.0,8.0,0.5,5.574548483,6.7416368725,G3,G3: NM-only diagnostic,Low,High
66,⊤⊤,5.0,2.0,1.0,8.0,0.2857142857142857,6.227831602,9.3349084845,G4,G4: neither diagnostic,Low,Low
67,⊥⊥,3.0,5.0,0.0,8.0,0.625,2.34488976,4.147649527,G1,G1: both diagnostic,High,High
67,⊥⊤,5.0,3.0,0.0,8.0,0.375,2.4959266185,3.901432514,G2,G2: BM-only diagnostic,High,Low
67,⊤⊥,3.0,5.0,0.0,8.0,0.625,2.4706027510000004,4.521249533,G3,G3: NM-only diagnostic,Low,High
67,⊤⊤,4.0,4.0,0.0,8.0,0.5,3.060260892,5.784474491999999,G4,G4: neither diagnostic,Low,Low
68,⊥⊥,5.0,3.0,0.0,8.0,0.375,5.025643468,6.818125725,G1,G1: both diagnostic,High,High
68,⊥⊤,4.0,4.0,0.0,8.0,0.5,3.680508494,5.180508494,G2,G2: BM-only diagnostic,High,Low
68,⊤⊥,4.0,4.0,0.0,8.0,0.5,3.094598532,4.2566654680000005,G3,G3: NM-only diagnostic,Low,High
68,⊤⊤,5.0,2.0,1.0,8.0,0.2857142857142857,3.389944792,7.486098528,G4,G4: neither diagnostic,Low,Low
69,⊥⊥,5.0,3.0,0.0,8.0,0.375,3.7549834250000003,4.290449381,G1,G1: both diagnostic,High,High
69,⊥⊤,6.0,2.0,0.0,8.0,0.25,4.3679754735,5.3679754735,G2,G2: BM-only diagnostic,High,Low
69,⊤⊥,3.0,5.0,0.0,8.0,0.625,3.8329459430000004,6.265274048,G3,G3: NM-only diagnostic,Low,High
69,⊤⊤,6.0,2.0,0.0,8.0,0.25,3.8434726,5.3211688995,G4,G4: neither diagnostic,Low,Low
70,⊥⊥,2.0,6.0,0.0,8.0,0.75,0.898687005,2.2582873105,G1,G1: both diagnostic,High,High
70,⊥⊤,6.0,1.0,1.0,8.0,0.14285714285714285,2.057565928,3.272687674,G2,G2: BM-only diagnostic,High,Low
70,⊤⊥,3.0,4.0,1.0,8.0,0.5714285714285714,2.70656848,4.12830019,G3,G3: NM-only diagnostic,Low,High
70,⊤⊤,4.0,4.0,0.0,8.0,0.5,1.984839797,3.5338129995000003,G4,G4: neither diagnostic,Low,Low
71,⊥⊥,4.0,4.0,0.0,8.0,0.5,1.4856419564999999,3.510380626,G1,G1: both diagnostic,High,High
71,⊥⊤,5.0,2.0,1.0,8.0,0.2857142857142857,2.768007517,6.551142454,G2,G2: BM-only diagnostic,High,Low
71,⊤⊥,2.0,6.0,0.0,8.0,0.75,1.438149095,1.4849667549999999,G3,G3: NM-only diagnostic,Low,High
71,⊤⊤,4.0,4.0,0.0,8.0,0.5,1.778165102,2.4965051415,G4,G4: neither diagnostic,Low,Low
72,⊥⊥,5.0,3.0,0.0,8.0,0.375,5.1471284625,5.393449545,G1,G1: both diagnostic,High,High
72,⊥⊤,6.0,2.0,0.0,8.0,0.25,6.1262072325,7.2817803625,G2,G2: BM-only diagnostic,High,Low
72,⊤⊥,1.0,7.0,0.0,8.0,0.875,4.980878114499999,6.762880087,G3,G3: NM-only diagnostic,Low,High
72,⊤⊤,6.0,2.0,0.0,8.0,0.25,6.1637277605000005,6.14142406,G4,G4: neither diagnostic,Low,Low
73,⊥⊥,2.0,6.0,0.0,8.0,0.75,6.6852686405,7.900108576,G1,G1: both diagnostic,High,High
73,⊥⊤,5.0,3.0,0.0,8.0,0.375,5.653226972000001,6.911290646,G2,G2: BM-only diagnostic,High,Low
73,⊤⊥,4.0,4.0,0.0,8.0,0.5,5.572265982499999,8.5722659825,G3,G3: NM-only diagnostic,Low,High
73,⊤⊤,7.0,1.0,0.0,8.0,0.125,7.548632264,9.885672092,G4,G4: neither diagnostic,Low,Low
74,⊥⊥,4.0,3.0,1.0,8.0,0.42857142857142855,6.336618185,7.336618185,G1,G1: both diagnostic,High,High
74,⊥⊤,6.0,2.0,0.0,8.0,0.25,6.45707047,10.90791905,G2,G2: BM-only diagnostic,High,Low
74,⊤⊥,3.0,4.0,1.0,8.0,0.5714285714285714,4.81337285,6.992943406,G3,G3: NM-only diagnostic,Low,High
74,⊤⊤,4.0,4.0,0.0,8.0,0.5,5.1971281765,6.4836324455,G4,G4: neither diagnostic,Low,Low
