iters,model,collpase,depth_schedule,base_noise,𝑝(𝑘=1),G1,G2,G3,G4,G1_share,G2_share,G3_share,G4_share,total_errors,fit
1000,"(0, 0, 1, 1)",x,x,x,1.0,5000,5000,2000,2000,0.357143,0.357143,0.142857,0.142857,14000,0.5314285714285714
1000,"(0, 1, 0, 1)",x,x,x,1.0,8000,6000,8000,6000,0.285714,0.214286,0.285714,0.214286,28000,0.9134285714285714
1000,"(0, 1, 1, 0)",x,x,x,1.0,2000,0,7000,5000,0.142857,0.0,0.5,0.357143,14000,0.32571428571428573
1000,"(1, 0, 0, 1)",x,x,x,1.0,6000,4000,4000,0,0.428571,0.285714,0.285714,0.0,14000,0.5314285714285715
1000,"(1, 0, 1, 0)",x,x,x,1.0,8000,6000,8000,6000,0.285714,0.214286,0.285714,0.214286,28000,0.9134285714285714
1000,"(1, 1, 0, 0)",x,x,x,1.0,0,0,5000,6000,0.0,0.0,0.454545,0.545455,11000,0.040000000000000036
