iters,model,collpase,depth_schedule,base_noise,𝑝(𝑘=1),G1,G2,G3,G4,G1_share,G2_share,G3_share,G4_share,total_errors,fit
1000,"(0, 0, 0, 0)",x,x,x,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,-0.008000000000000007
1000,"(0, 0, 0, 1)",x,x,x,1.0,4480,2257,0,0,0.664984,0.335016,0.0,0.0,6737,-0.040000000000000036
1000,"(0, 0, 1, 0)",x,x,x,1.0,3780,1716,2788,3302,0.326256,0.14811,0.240635,0.284999,11586,0.817490074227516
1000,"(0, 0, 1, 1)",x,x,x,1.0,6113,3868,1729,1684,0.456398,0.288786,0.129088,0.125728,13394,0.4696311781394654
1000,"(0, 1, 0, 0)",x,x,x,1.0,0,0,4485,2245,0.0,0.0,0.666419,0.333581,6730,0.04000000000000015
1000,"(0, 1, 0, 1)",x,x,x,1.0,4550,2209,4458,2278,0.337162,0.16369,0.330345,0.168803,13495,0.8929870322341609
1000,"(0, 1, 1, 0)",x,x,x,1.0,2978,1156,5482,4231,0.215065,0.083484,0.395898,0.305554,13847,0.6370968440817506
1000,"(0, 1, 1, 1)",x,x,x,1.0,5406,3271,4502,2611,0.342369,0.207156,0.285117,0.165358,15790,0.8609499683343889
1000,"(1, 0, 0, 0)",x,x,x,1.0,713,1804,5313,3779,0.061418,0.155397,0.457662,0.325523,11609,0.4736290808855198
1000,"(1, 0, 0, 1)",x,x,x,1.0,4535,3253,4016,2014,0.328195,0.235418,0.290635,0.145752,13818,0.8327746417716022
1000,"(1, 0, 1, 0)",x,x,x,1.0,3856,3052,4779,4333,0.240699,0.190512,0.298315,0.270474,16020,0.8500274656679151
1000,"(1, 0, 1, 1)",x,x,x,1.0,5544,4207,3560,2728,0.345657,0.262298,0.221959,0.170085,16039,0.7440887835899994
1000,"(1, 1, 0, 0)",x,x,x,1.0,515,1138,6696,5051,0.038433,0.084925,0.499701,0.37694,13400,0.2867164179104478
1000,"(1, 1, 0, 1)",x,x,x,1.0,4489,2696,5326,3172,0.286234,0.171906,0.339603,0.202257,15683,0.930793215583753
1000,"(1, 1, 1, 0)",x,x,x,1.0,2955,2182,5965,4885,0.184838,0.136486,0.373116,0.305561,15987,0.6826471508100331
1000,"(1, 1, 1, 1)",x,x,x,1.0,4704,3251,4703,3307,0.294645,0.203633,0.294582,0.207141,15965,0.9347341058565612
